record_id,person_name,entity_type,innovation_or_knowledge,location,source,page,evidence_confidence
S2-P63-01,Uday Bilwal,Educator/Community Initiative,Free Soldier Physical Academy; training youth for defence/police recruitment,"Jhabua, Madhya Pradesh",53rd Shodhyatra Presentation,62-63,high
S2-P64-01,Seema Trivedi,Education Leader,Activity-based learning; school growth and student outcomes,Jhabua region,53rd Shodhyatra Presentation,64,high
S2-P65-01,Renu Kachhawa,Teacher,Teaching-learning materials (TLM) for playful learning,"Jhabua, Madhya Pradesh",53rd Shodhyatra Presentation,65,high
S2-P66-01,Jagdishbhai Makwana,Innovative Teacher,Education and social messages through Bhavai folk theatre,"Chhota Udepur, Gujarat",53rd Shodhyatra Presentation,66,high
S2-P68-01,Jeetubhai Patel,Teacher/Social Worker,School development; connecting women to pension schemes,Gunata region,53rd Shodhyatra Presentation,68,high
S2-P70-01,Dineshbhai Rathwa,Teacher/Language Initiative,Rathwa-language word booklet for teachers; language bridge,Gujarat tribal region,53rd Shodhyatra Presentation,69-70,high
S2-P71-01,Ramanbhai Rathwa,Teacher/Community Leader,Built/improved school and hostel using personal resources,Gujarat,53rd Shodhyatra Presentation,71,high
S2-P73-01,Nikhilbhai Rathwa; Riteshbhai Darji; Chakabhai,Social Service Team,Distribution of school supplies to needy schools,Gujarat border-region schools,53rd Shodhyatra Presentation,73,high
S2-P79-01,Kamleshji Patel; Traders Association; collaborators,Institutional/Environmental Initiative,"5,000 trees at Hathipava valley; care for birds/animals","Jhabua, Madhya Pradesh",53rd Shodhyatra Presentation,79,high
S2-P83-01,Rajendra Shrivastav,Social Worker,Reuniting vulnerable people with families; connecting people to shelters,Multiple states,53rd Shodhyatra Presentation,83,high
S2-P85-01,Gopal Bhai Rathwa,Community/Education Leader,Free Army/police training; hostel; organic farming and processing training for women,Gujarat region,53rd Shodhyatra Presentation,85,high
S2-P86-01,Community tradition,Traditional Food,"Dal Piniya, a traditional tribal dish","Jhabua and Alirajpur, Madhya Pradesh",53rd Shodhyatra Presentation,86,high
S2-P87-01,Community tradition,Traditional Food/Knowledge,Kuliyaari ki bhaji,Tribal/rural areas of Madhya Pradesh,53rd Shodhyatra Presentation,87,high
